,х1,х2,х3,х4,х5,х6,х7,х8,х9,х10,х11,х12,х13,х14,х15,х16,х17,Y
122,1,"67,00889587","0,1","-2,75",-1,87,"0,5",42,"41,5",113,"-2,75",-1,87,"24,6","3,3","4,46","118,5","19,5"
123,2,"65,62902069","0,05","-3,5","-0,5",80,"0,25","43,75","43,25",79,"-3,25","-0,5",81,"23,72","3,11","4,22","118,8",20
124,2,"69,17453766","0,3","2,5",0,0,"0,7","43,75","42,75",91,3,"-0,75",155,"23,07","3,28","3,76","118,5",22
125,1,"72,56947327","0,16","-3,5","-0,5",50,"0,5","42,5",42,165,"-3,25","-0,5",51,"24,38","3,28","4,25","118,8","19,5"
126,2,"75,08008575","0,6","1,25",-1,110,"0,8","44,75","44,25",18,"1,5","-1,25",112,"22,65","2,49","5,21","118,8","22,5"
127,1,"56,13689423","0,05","3,75",0,0,"0,9","41,25","41,25",180,4,"-0,5",83,"23,57","3,24","4,33","118,8",24
128,1,44,"0,16",-6,-2,22,"0,7","43,75","42,5",103,"-5,75",-2,22,"26,5","3,95","3,79","118,8","13,5"
129,2,"67,51266479","0,1","-1,5","-1,5",5,"0,3","42,5","42,25",122,"-0,5","-2,5",12,"24,29","3,47","4,3","118,8",19
130,2,"67,22518921","0,2","1,5",-1,95,0,44,"43,75",7,"1,75","-1,25",95,"22,93","2,55","5,73","118,5","22,5"
131,2,"70,55167389","0,16",0,0,0,0,45,"44,25",21,1,"-0,5",91,"23,46","3,75","4,2",119,"20,5"
132,2,"61,91923523","0,16","2,75",-1,100,"0,7",44,44,180,3,-1,100,"22,68","2,87","4,67","118,5","22,5"
133,1,"81,24571991","0,05","-1,5",-2,90,"0,2","45,25","44,75",11,"-1,5",-2,91,"23,3","3,41","4,45","118,5","20,5"
134,2,"66,75701904","0,16",4,-1,10,"0,5","44,25",43,89,"5,25","-1,25",8,"22,32","3,23","4,23","118,8",25
135,2,"34,08898163","0,2",1,"-5,5",165,"0,7","47,75","43,75",76,"1,25","-5,75",165,"23,31","3,35","4,25","119,2",20
136,1,"70,25051117","0,5",1,"-1,5",90,"0,9","43,75","42,75",177,"1,25","-1,5",89,"23,65","3,24","4,44","118,5","20,5"
137,2,"62,46406555","0,3","1,5",-1,40,"0,5",46,"45,75",108,"1,75","-1,25",38,"22,29","2,84","4,6",119,"22,5"
138,2,"74,30800629","0,2",0,-2,75,"0,5","43,75","43,25",156,"0,25","-2,25",77,"22,85","2,24","5,45","118,8",23
139,1,"69,92197418","0,05",-5,"-1,5",70,"0,2","43,5","42,75",96,-5,"-1,75",65,"23,3","3,42","4,15","118,5",23
140,2,"67,74264526","0,4","1,5","-0,5",60,"0,6","44,5","43,75",105,"2,25",-1,58,"24,23","3,58","3,56","118,8",18
141,1,"72,83504486","0,1","-1,75","-0,75",135,"0,7",45,"44,5",82,"-1,75","-0,75",134,"23,42","2,72","5,12","118,8",20
142,2,"70,16564178","0,03",7,0,0,"0,4",44,"43,25",51,8,-1,105,"21,14","2,9","4,23","118,5","29,5"
143,2,"74,09172058","0,16",2,-1,120,"0,3",46,"45,5",27,"2,75","-1,25",124,"21,54","2,56","5,01","118,5",25
144,1,"72,51197815","0,1","-0,5",-1,100,"0,16","44,75","43,75",19,"-0,5","-1,75",102,"22,38","2,95","4,73","118,5",24
145,1,"32,25188065","0,03","-11,5","-3,5",10,"0,5","45,5","43,25",92,"-11,75","-3,5",8,"28,69","3,82","4,01","119,1","6,5"
146,2,"70,52429962","0,8",0,0,0,0,43,42,93,0,"-0,5",141,"23,62","3,04","4,8","118,5",22
147,1,"64,71731567","0,03","7,5","-1,5",30,"0,1",43,"40,75",111,"7,5","-1,5",30,"21,45","2,32","5,17","118,8",30
148,2,"72,87885284","0,1",3,"-0,5",65,"0,3",43,43,180,"3,25","-0,75",59,"24,18","3,47","4,15","118,5","20,5"
149,2,"80,98562622","0,3","1,5","-1,5",115,"0,4","48,5","47,25",48,2,"-1,5",117,"21,17","2,77","4,46","118,8",24
150,2,"10,11635876","0,3","0,75",-1,0,0,47,"44,75",91,1,"-1,25",177,"21,34","3,62","2,79",119,"26,5"
151,2,"77,30047607","0,4",0,0,0,0,"43,75","43,5",140,"1,25","-0,75",115,"24,11","3,24","4,47","118,5","18,5"
152,2,"66,79534912","0,4","1,25",0,0,"0,9","44,75","43,75",75,"1,5",0,0,"23,85","3,28","4,3","118,5","18,5"
153,2,"58,34907532","0,05",-4,"-1,5",80,"0,5","44,25",44,90,-4,"-2,25",79,"24,26","3,38","3,87","118,5",18
154,2,"66,76522827","0,05","2,5","-1,5",95,"0,1","46,75","45,75",23,"2,75","-1,75",95,"22,01","3,16","4,96","118,5",23
155,1,"8,451745033","0,1",4,-2,160,"0,2","43,75","41,5",96,5,"-3,5",159,"21,56","3,66","2,56",119,29
156,1,"19,72895241","0,1",8,-2,115,"0,2",45,"43,25",34,"9,5","-2,25",113,"20,36","3,61","3,81","119,2",34
157,2,"60,96920013","0,1","-0,5",-1,110,"0,3","42,5","42,25",58,-1,"-1,25",108,"24,26","3,31","4,12","118,5",20
158,1,"71,85489655","0,5",0,0,0,0,"46,75","46,25",117,2,"-1,5",75,"22,71","3,3","4,92","118,5","19,5"
159,1,"51,11019897","0,4",-1,0,0,"0,5","42,25","41,5",11,"-1,25","-2,25",95,"25,01","3,85","4,42","118,6",18
160,2,"33,47296524","0,2",0,-2,20,1,"43,25","40,75",103,"0,25","-2,25",20,"24,71","3,72","3,88","119,2",19
161,2,"64,47638702","0,2",-1,"-2,5",100,"0,5","45,25","43,25",14,"-0,75",-3,90,"24,22","3,53","4,18","119,2",18
162,2,"42,15468979","0,01","-13,5",0,0,"0,4",45,"43,75",71,-14,"-0,75",158,"28,34","3,84","3,88","118,5",7
163,2,"60,72005463","0,2",3,-4,0,"0,8","44,75","41,25",88,"3,25","-4,75",179,"23,58","2,76","4,34","119,2","21,5"
164,1,"63,58932114","0,5","-1,5",-1,150,"0,6",44,"43,25",62,"-1,5",-1,152,"23,89","3,36","4,52","118,5",20
165,2,"68,52292633","0,03",-4,-2,110,"0,3","43,75",43,30,"-3,75",-2,108,"23,94","3,64","4,1","118,5",19
166,2,"49,47843933","0,16","6,5",-1,5,"0,8","45,75","43,75",96,7,"-1,25",7,"20,88","3,22","4,06","118,5",29
167,1,"65,0239563","0,3","3,5","-1,5",90,1,"43,25","42,75",171,"3,5","-1,5",89,"22,7","2,83","4,91","118,6","24,5"
168,2,"69,28952789","0,4",-1,-1,100,"0,8","46,5","46,5",180,-1,"-1,5",100,"23,53","3,77","3,64","118,5",17
169,1,"57,64544678",0,-11,-1,75,"0,2",45,"44,5",147,"-10,75","-1,75",78,"25,19","3,59","4,34","118,5","14,5"
170,1,"71,92333984","0,1",-7,-4,165,"0,3","44,25","42,25",70,-7,"-4,25",164,"24,95","3,07","4,83","118,5",17
171,2,"84,03011322","0,1","-0,5",-1,80,"0,2","45,5","44,75",160,"-0,5",-1,82,"22,36","2,86","4,52","118,5",23
172,2,"60,03285599","0,03",-8,0,0,"0,5","44,75","44,5",46,-8,0,0,"24,79","3,22","4,53","118,8",16
173,1,"51,56468201","0,16","2,5","-0,5",125,"0,9","43,25","42,25",66,"2,5","-0,5",125,"23,36","3,35","3,95","119,3",23
174,1,"66,37645721","0,5",0,"-1,25",85,"0,6",42,41,169,0,"-1,5",83,"23,84","3,64","4,09","118,8",22
175,2,"66,05065155","0,6",0,0,0,0,"44,5","43,25",81,"0,75",-1,38,"22,35","2,34","4,19","118,5","23,5"
176,1,"46,84462738","0,7",0,0,0,0,"46,25","45,5",58,1,"-0,5",124,"23,24","3,78","3,57","119,3",20
177,2,"85,06776428","0,2",0,0,0,0,"45,25","45,25",90,"-1,25",-1,76,"22,97","2,87","4,44","118,5","20,5"
178,1,"68,05749512","0,4","-0,5","-1,5",125,"0,5","44,5","44,25",31,"-0,5","-1,5",124,"23,15","3,02","4,85","118,4",21
179,1,"71,87406158","0,16",0,0,0,0,"44,75",44,162,"3,75","-1,75",90,"23,06","3,45","4,44",119,22
180,2,"74,25872803","0,05","-1,5",0,0,"0,1","44,5","44,25",49,"-1,5","-0,75",126,"22,95","3,23","4,47","118,6","21,5"
181,2,"76,00273895","0,1","-1,25","-0,75",115,"0,4",45,"44,25",73,"-1,25","-0,75",116,"22,45","2,54","4,86","118,5","22,5"
182,2,"57,96851349","0,01",0,0,0,0,"34,75","33,75",169,0,0,0,"29,05","2,98","4,52",119,21
183,2,"71,04722595","0,2",0,"-1,5",80,"0,6","46,25","45,5",8,"0,25","-1,75",80,"23,35","3,09","4,52","118,5","18,5"
184,2,"71,40314484","0,08","3,25","-1,5",95,"0,5","44,75","44,5",178,"3,5","-1,5",95,"22,03","2,96","4,47","118,5",25
185,2,"82,94319153","0,2",0,0,0,0,45,"44,5",102,"6,75",0,0,"23,5","3,44","4,29","118,6","19,5"
186,2,"68,40520477","0,3","3,5","-1,5",120,"0,4","44,25","43,25",59,4,"-1,5",118,"21,72","2,47","4,94",119,"27,5"
187,2,"67,94250488","0,1",0,-2,90,"0,16",38,37,2,"-1,25","-2,25",90,"24,54","2,84","4,21","118,5","28,5"
188,1,"51,87953568","0,1",3,0,0,"0,9","43,25","42,75",145,"3,25","-0,75",85,"22,59","3,15","4,35","118,5",25
189,2,"67,53456879","0,3","1,75",0,0,"0,8","45,5",45,49,2,"-0,25",82,"22,21","2,8","4,55","118,8",23
190,2,"19,87132072","0,02",-12,-3,15,"0,7","43,25","40,75",99,"-11,75","-3,25",15,"28,31","3,49","3,7","119,2",10
191,2,"73,70294189","0,4",-1,"-0,5",140,"0,6","46,75","45,5",87,-1,-1,149,"22,25","2,6","5,34","118,6","21,5"
192,2,"72,4407959","0,02",-7,"-1,5",10,"0,2","44,75","42,5",101,"-6,75",-2,10,"26,41","3,55","4,61","119,2","12,5"
193,1,"74,67488098","0,16",-3,-2,90,"0,5","38,25","36,25",172,"-2,75","-2,25",94,"28,57","3,72","4,43","119,2",14
194,2,"80,30937958","0,3","1,5","-1,5",90,"0,6","47,5",46,6,"1,75","-1,75",92,"22,3","3,22","4,41","118,5",21
195,1,"50,28884506","0,04",-8,-2,145,"0,16","44,25","43,5",76,"-8,25","-2,75",145,"22,98","3,07","2,76","118,5",22
196,2,"62,53251266","0,03",-6,-3,80,"0,3",46,"44,75",137,-6,"-3,25",78,"24,31","3,2","4,41",119,17
197,1,"58,65023804","0,1",-2,-3,80,"0,4","45,5",43,167,"-1,75",-4,78,"23,33","3,35","4,68","119,2",22
198,2,"68,1752243","0,4",0,0,0,0,45,"44,25",64,1,"-1,25",147,"23,07","2,61","4,99",119,22
199,2,"72,87063599","0,2",2,0,0,"0,8",43,"42,25",88,"2,25","-0,25",83,"23,75","3,17","4,58","118,5","21,5"
200,1,"63,41410065","0,3",0,-1,135,"0,4","43,75","43,25",107,1,"-1,25",44,"24,55","3,56","4,59","118,8","17,5"
201,2,"73,37713623","0,2","2,75",0,0,"0,5","47,75","47,25",102,3,"-0,5",73,"21,61","3,21","4,68","118,5",24
